connection_id,packet_size,duration,bytes_sent,bytes_received,connection_type,port_number,flag_count,threat_detected
1,1523,1.06,5378,7090,ICMP,0,1,0
2,854,4.82,2131,2378,UDP,443,4,0
3,1957,2.24,6979,3840,TCP,110,3,0
4,1533,2.5,3197,4777,TCP,22,2,0
5,1162,4.68,3882,4440,UDP,110,4,0
6,847,4.42,2752,3461,TCP,143,2,0
7,631,1.72,890,1090,ICMP,0,1,0
8,802,2.35,1127,918,TCP,21,3,0
9,63027,50.6,509766,158937,UDP,135,12,1
10,682,1.03,1004,739,ICMP,0,1,0
11,1319,0.39,1365,1637,ICMP,0,1,0
12,1837,3.55,3972,3965,UDP,143,1,0
13,47854,37.3,313901,203992,ICMP,0,1,1
14,340,3.69,436,631,TCP,25,4,0
15,1052,0.32,2581,2545,UDP,53,1,0
16,118,4.88,375,531,TCP,993,2,0
17,1503,1.54,3987,4495,ICMP,0,1,0
18,1049,4.27,3577,3534,UDP,995,2,0
19,19458,17.31,165814,117327,UDP,1521,7,1
20,47636,39.3,415071,272078,TCP,445,11,1
21,1779,0.28,1937,2141,ICMP,0,1,0
22,1474,3.91,5280,7335,UDP,80,3,0
23,38374,57.09,286649,194545,UDP,139,5,1
24,150,0.55,201,122,UDP,22,4,0
25,34454,24.63,220645,137657,TCP,135,10,1
26,1182,4.32,2355,1788,UDP,443,1,0
27,829,1.71,2575,1404,TCP,110,4,0
28,1342,2.36,4663,5594,TCP,21,4,0
29,43410,16.11,138439,57005,TCP,139,11,1
30,1757,3.92,5703,6150,TCP,443,1,0
31,32178,46.29,127373,25688,UDP,135,6,1
32,1501,1.73,5795,3295,UDP,25,3,0
33,1921,3.8,7263,9035,TCP,21,1,0
34,445,1.88,670,842,ICMP,0,1,0
35,469,0.75,1555,1116,TCP,443,3,0
36,20520,41.28,43930,15161,ICMP,0,1,1
37,45141,48.32,316308,127417,UDP,1433,5,1
38,1999,3.77,5428,4409,ICMP,0,1,0
39,1614,4.13,2387,1990,TCP,995,2,0
40,26528,17.94,85248,36960,ICMP,0,1,1
41,1661,0.66,4555,5429,TCP,443,1,0
42,23529,33.16,203434,92841,UDP,5432,11,1
43,426,1.36,498,655,UDP,443,4,0
44,479,0.45,1187,695,TCP,25,1,0
45,14063,58.28,84911,40245,TCP,135,11,1
46,1640,4.16,5958,6808,TCP,22,4,0
47,764,4.41,2005,2819,TCP,80,1,0
48,56585,18.73,539385,416589,UDP,548,11,1
49,752,4.36,2502,2827,TCP,21,4,0
50,746,3.41,1290,1413,ICMP,0,1,0
51,27078,28.59,113672,62249,ICMP,0,1,1
52,183,2.92,512,268,TCP,143,3,0
53,398,3.53,506,702,UDP,993,3,0
54,1457,3.38,2420,2651,UDP,110,2,0
55,1033,3.88,1581,1192,TCP,25,1,0
56,56393,8.53,506052,257178,UDP,1433,5,1
57,571,2.22,1875,2478,UDP,53,1,0
58,604,0.65,815,1181,UDP,22,3,0
59,41638,30.58,271047,216817,UDP,1521,9,1
60,1018,0.62,2349,1378,ICMP,0,1,0
61,30938,45.85,203915,64548,UDP,2049,14,1
62,1814,4.1,4836,2439,TCP,443,3,0
63,1797,3.84,6362,8963,TCP,53,2,0
64,24885,5.02,150597,113632,UDP,1723,8,1
65,789,0.89,1354,1303,ICMP,0,1,0
66,1015,0.34,3699,3119,TCP,143,3,0
67,1309,2.12,1978,1033,ICMP,0,1,0
68,118,0.49,352,271,TCP,25,4,0
69,517,0.1,1859,2458,ICMP,0,1,0
70,46339,40.87,411620,116966,ICMP,0,1,1
71,1297,0.21,4887,6404,ICMP,0,1,0
72,49707,40.6,436365,189592,UDP,1433,14,1
73,39472,52.23,128467,92332,UDP,135,11,1
74,8228,14.6,57928,33968,ICMP,0,1,1
75,34842,17.65,186614,50918,UDP,139,8,1
76,47095,24.02,349311,112763,TCP,135,9,1
77,19133,56.23,123200,93159,ICMP,0,1,1
78,547,3.73,1143,828,TCP,143,2,0
79,786,1.36,2757,3054,TCP,80,2,0
80,772,1.66,1116,563,TCP,443,2,0
81,9536,42.05,24325,6583,UDP,2049,10,1
82,980,2.29,1123,773,ICMP,0,1,0
83,774,0.92,1809,1520,UDP,80,3,0
84,745,0.63,967,1308,UDP,53,4,0
85,24177,26.71,226222,117080,ICMP,0,1,1
86,1750,0.93,2110,2948,UDP,993,2,0
87,33387,41.37,229187,60709,TCP,515,8,1
88,5743,55.93,34606,14141,UDP,3389,10,1
89,1530,3.79,3406,4518,ICMP,0,1,0
90,1353,0.98,3612,4850,UDP,53,4,0
91,1468,4.9,5118,5609,UDP,80,4,0
92,1837,1.55,3161,3597,UDP,443,1,0
93,1451,1.45,1673,2363,ICMP,0,1,0
94,90,3.45,241,151,UDP,80,4,0
95,988,0.95,3723,3808,UDP,995,3,0
96,33194,50.97,115310,65511,ICMP,0,1,1
97,26122,35.46,77815,53013,ICMP,0,1,1
98,1360,3.98,4368,6124,ICMP,0,1,0
99,18607,30.26,139722,65215,UDP,5432,11,1
100,1392,4.53,5563,7896,ICMP,0,1,0
101,31620,15.46,234504,147187,UDP,445,14,1
102,12693,36.01,63340,17908,ICMP,0,1,1
103,36534,8.76,322964,219039,ICMP,0,1,1
104,27278,44.51,81147,50062,ICMP,0,1,1
105,1956,4.37,4056,4567,ICMP,0,1,0
106,26780,46.42,259653,98022,ICMP,0,1,1
107,38315,14.62,301376,125694,ICMP,0,1,1
108,24214,31.5,150242,42574,UDP,2049,7,1
109,47673,6.43,418847,322774,TCP,135,9,1
110,876,4.02,1946,1595,TCP,995,1,0
111,1454,4.3,1620,1054,UDP,993,4,0
112,1934,2.67,5953,3238,ICMP,0,1,0
113,34468,47.23,205292,163172,UDP,445,9,1
114,229,4.61,614,335,UDP,22,2,0
115,1919,2.9,3897,3591,ICMP,0,1,0
116,380,4.9,794,531,UDP,110,3,0
117,43152,36.93,199975,140711,TCP,139,12,1
118,358,3.16,746,993,TCP,22,2,0
119,1389,0.17,3216,3952,TCP,993,3,0
120,439,0.23,1526,1033,UDP,995,4,0
121,1299,1.99,1632,1857,UDP,995,1,0
122,846,1.5,1070,1455,ICMP,0,1,0
123,1414,4.11,3026,1918,UDP,80,2,0
124,49223,49.07,408104,128401,ICMP,0,1,1
125,1119,2.99,4194,5600,ICMP,0,1,0
126,923,1.52,3471,4898,ICMP,0,1,0
127,15814,45.17,120011,48461,ICMP,0,1,1
128,1293,1.62,1444,1794,TCP,22,1,0
129,779,1.99,1272,1592,ICMP,0,1,0
130,12086,5.26,96610,22308,UDP,1521,13,1
131,337,1.67,1208,1695,UDP,143,1,0
132,1271,2.91,1379,809,ICMP,0,1,0
133,1884,2.55,5109,6197,ICMP,0,1,0
134,11847,21.05,71796,29098,UDP,548,8,1
135,1397,4.53,2171,2565,UDP,443,3,0
136,26035,32.16,147259,30169,TCP,1521,11,1
137,1858,4.7,2336,1933,UDP,995,1,0
138,420,3.58,1535,1556,ICMP,0,1,0
139,315,1.25,722,1031,UDP,143,3,0
140,1633,1.98,4686,4405,ICMP,0,1,0
141,2336,58.79,20858,4919,ICMP,0,1,1
142,1606,3.09,5713,4468,UDP,80,1,0
143,60076,27.29,167297,131377,TCP,2049,8,1
144,260,4.02,828,1213,ICMP,0,1,0
145,1186,3.39,4737,3026,ICMP,0,1,0
146,62683,41.08,528430,242906,TCP,1935,5,1
147,37988,53.99,353914,159729,TCP,445,11,1
148,1305,1.73,4952,6792,ICMP,0,1,0
149,806,1.64,1095,887,TCP,80,4,0
150,1318,0.13,3812,4248,UDP,80,1,0
151,520,3.46,1165,1004,TCP,22,4,0
152,362,4.63,961,1240,TCP,22,2,0
153,159,3.61,205,117,UDP,110,3,0
154,4787,29.55,31079,6222,TCP,2049,12,1
155,10134,12.34,39060,17880,UDP,2049,14,1
156,19004,52.03,137054,31006,ICMP,0,1,1
157,18986,57.35,98075,55859,UDP,3306,14,1
158,1618,4.47,3406,4170,TCP,995,2,0
159,988,3.63,1845,2184,TCP,22,2,0
160,1065,0.61,1226,1665,ICMP,0,1,0
161,1784,4.45,3566,2467,ICMP,0,1,0
162,532,3.79,781,519,ICMP,0,1,0
163,50719,59.88,276314,175665,ICMP,0,1,1
164,999,3.53,3991,3427,ICMP,0,1,0
165,1239,1.42,3356,4855,ICMP,0,1,0
166,1881,1.52,6378,8281,TCP,143,1,0
167,49546,33.19,338105,159005,UDP,139,14,1
168,934,3.22,3731,3568,TCP,21,1,0
169,153,0.75,339,247,ICMP,0,1,0
170,8225,31.59,61818,47657,TCP,135,6,1
171,8687,31.53,65408,22603,UDP,515,10,1
172,10466,52.47,93730,45217,UDP,515,11,1
173,1875,4.44,5195,3848,UDP,25,2,0
174,1381,3.4,4133,4537,UDP,25,4,0
175,60613,34.55,130236,100560,TCP,515,5,1
176,688,2.47,2564,1358,TCP,53,3,0
177,790,0.42,891,810,ICMP,0,1,0
178,1374,1.4,1908,2056,ICMP,0,1,0
179,2020,2.02,3122,3438,ICMP,0,1,0
180,821,2.61,1777,1701,UDP,22,4,0
181,156,4.14,585,414,TCP,443,4,0
182,1519,2.24,2745,3295,TCP,993,3,0
183,646,2.54,1553,1549,UDP,25,3,0
184,35620,34.07,268404,168215,TCP,3306,5,1
185,991,2.73,2339,3250,TCP,443,3,0
186,312,0.5,1233,1058,UDP,443,4,0
187,1567,2.97,3888,3153,UDP,53,2,0
188,1249,4.88,4610,3649,TCP,443,3,0
189,535,1.35,625,882,ICMP,0,1,0
190,37276,14.17,328121,113196,UDP,1935,14,1
191,60447,36.47,218616,134109,ICMP,0,1,1
192,467,4.5,1098,1400,UDP,80,2,0
193,497,3.07,1702,2126,TCP,53,3,0
194,17364,57.06,44695,21978,ICMP,0,1,1
195,1115,4.2,2882,1527,TCP,110,1,0
196,254,1.32,769,481,TCP,25,2,0
197,1796,2.54,3933,5657,UDP,80,1,0
198,1706,4.69,2667,2752,UDP,110,2,0
199,56691,49.06,541064,183629,ICMP,0,1,1
200,294,4.45,1168,1248,ICMP,0,1,0
201,49041,28.98,470361,194832,ICMP,0,1,1
202,63030,9.64,228500,65326,UDP,1723,9,1
203,811,3.61,2596,3722,UDP,110,2,0
204,594,3.66,1237,1294,TCP,22,3,0
205,78,4.25,223,152,UDP,143,2,0
206,1524,0.41,5851,7403,ICMP,0,1,0
207,274,2.7,1082,1350,TCP,443,3,0
208,17165,7.37,144291,100664,ICMP,0,1,1
209,46141,55.46,209102,69064,ICMP,0,1,1
210,49942,57.97,257916,103848,ICMP,0,1,1
211,1466,0.55,2607,1528,UDP,80,1,0
212,927,4.37,3436,2883,UDP,80,1,0
213,50689,8.47,341986,263908,UDP,1723,9,1
214,1572,3.8,2698,3339,UDP,995,2,0
215,89,4.08,185,124,ICMP,0,1,0
216,1899,1.13,2526,2219,UDP,22,4,0
217,97,2.66,374,413,ICMP,0,1,0
